X,Y,Z
100.0000,80.7500,1002.9600
100.9809,80.7500,1002.9632
101.9618,80.7500,1002.9665
102.9427,80.7500,1002.9697
103.9236,80.7500,1002.9729
104.9045,80.7500,1002.9762
105.8854,80.7500,1002.9794
106.8662,80.7500,1002.9827
107.8471,80.7500,1002.9859
108.8280,80.7500,1002.9891
109.8089,80.7500,1002.9924
110.7898,80.7500,1002.9956
111.7707,80.7500,1002.9988
112.7516,80.7500,1003.0021
113.7325,80.7500,1003.0053
114.7134,80.7500,1003.0086
115.6943,80.7500,1003.0118
116.6752,80.7500,1003.0150
117.6561,80.7500,1003.0183
118.6369,80.7500,1003.0215
119.6178,80.7500,1003.0247
120.5987,80.7500,1003.0280
121.5796,80.7500,1003.0312
122.5605,80.7500,1003.0345
123.5414,80.7500,1003.0377
124.5223,80.7500,1003.0409
125.5032,80.7500,1003.0442
126.4841,80.7500,1003.0474
127.4650,80.7500,1003.0506
128.4459,80.7500,1003.0539
129.4268,80.7500,1003.0571
130.4076,80.7500,1003.0603
131.3885,80.7500,1003.0636
132.3694,80.7500,1003.0668
133.3503,80.7500,1003.0701
134.3312,80.7500,1003.0733
135.3121,80.7500,1003.0765
136.2930,80.7500,1003.0798
137.2739,80.7500,1003.0830
138.2548,80.7500,1003.0862
139.2357,80.7500,1003.0895
140.2166,80.7500,1003.0927
141.1975,80.7500,1003.0960
142.1783,80.7500,1003.0992
143.1592,80.7500,1003.1024
144.1401,80.7500,1003.1057
145.1210,80.7500,1003.1089
146.1019,80.7500,1003.1121
147.0828,80.7500,1003.1154
148.0637,80.7500,1003.1186
149.0446,80.7500,1003.1218
150.0255,80.7500,1003.1251
151.0064,80.7500,1003.1283
151.9873,80.7500,1003.1316
152.9682,80.7500,1003.1348
153.9490,80.7500,1003.1380
154.9299,80.7500,1003.1413
155.9108,80.7500,1003.1445
156.8917,80.7500,1003.1477
157.8726,80.7500,1003.1510
158.8535,80.7500,1003.1542
159.8344,80.7500,1003.1575
160.8153,80.7500,1003.1607
161.7962,80.7500,1003.1639
162.7771,80.7500,1003.1672
163.7580,80.7500,1003.1704
164.7389,80.7500,1003.1736
165.7197,80.7500,1003.1769
166.7006,80.7500,1003.1801
167.6815,80.7500,1003.1833
168.6624,80.7500,1003.1866
169.6433,80.7500,1003.1898
170.6242,80.7500,1003.1931
171.6051,80.7500,1003.1963
172.5860,80.7500,1003.1995
173.5669,80.7500,1003.2028
174.5478,80.7500,1003.2060
175.5287,80.7500,1003.2092
176.5096,80.7500,1003.2125
177.4904,80.7500,1003.2157
178.4713,80.7500,1003.2190
179.4522,80.7500,1003.2222
180.4331,80.7500,1003.2254
181.4140,80.7500,1003.2287
182.3949,80.7500,1003.2319
183.3758,80.7500,1003.2351
184.3567,80.7500,1003.2384
185.3376,80.7500,1003.2416
186.3185,80.7500,1003.2449
187.2994,80.7500,1003.2481
188.2803,80.7500,1003.2513
189.2611,80.7500,1003.2546
190.2420,80.7500,1003.2578
191.2229,80.7500,1003.2610
192.2038,80.7500,1003.2643
193.1847,80.7500,1003.2675
194.1656,80.7500,1003.2707
195.1465,80.7500,1003.2740
196.1274,80.7500,1003.2772
197.1083,80.7500,1003.2805
198.0892,80.7500,1003.2837
199.0701,80.7500,1003.2869
200.0510,80.7500,1003.2902
201.0318,80.7500,1003.2934
202.0127,80.7500,1003.2966
202.9936,80.7500,1003.2999
203.9745,80.7500,1003.3031
204.9554,80.7500,1003.3064
205.9363,80.7500,1003.3096
206.9172,80.7500,1003.3128
207.8981,80.7500,1003.3161
208.8790,80.7500,1003.3193
209.8599,80.7500,1003.3225
210.8408,80.7500,1003.3258
211.8217,80.7500,1003.3290
212.8025,80.7500,1003.3322
213.7834,80.7500,1003.3355
214.7643,80.7500,1003.3387
215.7452,80.7500,1003.3420
216.7261,80.7500,1003.3452
217.7070,80.7500,1003.3484
218.6879,80.7500,1003.3517
219.6688,80.7500,1003.3549
220.6497,80.7500,1003.3581
221.6306,80.7500,1003.3614
222.6115,80.7500,1003.3646
223.5924,80.7500,1003.3679
224.5732,80.7500,1003.3711
225.5541,80.7500,1003.3743
226.5350,80.7500,1003.3776
227.5159,80.7500,1003.3808
228.4968,80.7500,1003.3840
229.4777,80.7500,1003.3873
230.4586,80.7500,1003.3905
231.4395,80.7500,1003.3938
232.4204,80.7500,1003.3970
233.4013,80.7500,1003.4002
234.3822,80.7500,1003.4035
235.3631,80.7500,1003.4067
236.3439,80.7500,1003.4099
237.3248,80.7500,1003.4132
238.3057,80.7500,1003.4164
239.2866,80.7500,1003.4196
240.2675,80.7500,1003.4229
241.2484,80.7500,1003.4261
242.2293,80.7500,1003.4294
243.2102,80.7500,1003.4326
244.1911,80.7500,1003.4358
245.1720,80.7500,1003.4391
246.1529,80.7500,1003.4423
247.1338,80.7500,1003.4455
248.1146,80.7500,1003.4488
249.0955,80.7500,1003.4520
250.0764,80.7500,1003.4553
251.0573,80.7500,1003.4585
252.0382,80.7500,1003.4617
253.0191,80.7500,1003.4650
254.0000,80.7500,1003.4682
254.9809,80.7500,1003.4714
255.9618,80.7500,1003.4747
256.9427,80.7500,1003.4779
257.9236,80.7500,1003.4811
258.9045,80.7500,1003.4844
259.8854,80.7500,1003.4876
260.8662,80.7500,1003.4909
261.8471,80.7500,1003.4941
262.8280,80.7500,1003.4973
263.8089,80.7500,1003.5006
264.7898,80.7500,1003.5038
265.7707,80.7500,1003.5070
266.7516,80.7500,1003.5103
267.7325,80.7500,1003.5135
268.7134,80.7500,1003.5168
269.6943,80.7500,1003.5200
270.6752,80.7500,1003.5232
271.6561,80.7500,1003.5265
272.6369,80.7500,1003.5297
273.6178,80.7500,1003.5329
274.5987,80.7500,1003.5362
275.5796,80.7500,1003.5394
276.5605,80.7500,1003.5427
277.5414,80.7500,1003.5459
278.5223,80.7500,1003.5491
279.5032,80.7500,1003.5524
280.4841,80.7500,1003.5556
281.4650,80.7500,1003.5588
282.4459,80.7500,1003.5621
283.4268,80.7500,1003.5653
284.4076,80.7500,1003.5685
285.3885,80.7500,1003.5718
286.3694,80.7500,1003.5750
287.3503,80.7500,1003.5783
288.3312,80.7500,1003.5815
289.3121,80.7500,1003.5847
290.2930,80.7500,1003.5880
291.2739,80.7500,1003.5912
292.2548,80.7500,1003.5944
293.2357,80.7500,1003.5977
294.2166,80.7500,1003.6009
295.1975,80.7500,1003.6042
296.1783,80.7500,1003.6074
297.1592,80.7500,1003.6106
298.1401,80.7500,1003.6139
299.1210,80.7500,1003.6171
300.1019,80.7500,1003.6203
301.0828,80.7500,1003.6236
302.0637,80.7500,1003.6268
303.0446,80.7500,1003.6300
304.0255,80.7500,1003.6333
305.0064,80.7500,1003.6365
305.9873,80.7500,1003.6398
306.9682,80.7500,1003.6430
307.9490,80.7500,1003.6462
308.9299,80.7500,1003.6495
309.9108,80.7500,1003.6527
310.8917,80.7500,1003.6559
311.8726,80.7500,1003.6592
312.8535,80.7500,1003.6624
313.8344,80.7500,1003.6657
314.8153,80.7500,1003.6689
315.7962,80.7500,1003.6721
316.7771,80.7500,1003.6754
317.7580,80.7500,1003.6786
318.7389,80.7500,1003.6818
319.7197,80.7500,1003.6851
320.7006,80.7500,1003.6883
321.6815,80.7500,1003.6915
322.6624,80.7500,1003.6948
323.6433,80.7500,1003.6980
324.6242,80.7500,1003.7013
325.6051,80.7500,1003.7045
326.5860,80.7500,1003.7077
327.5669,80.7500,1003.7110
328.5478,80.7500,1003.7142
329.5287,80.7500,1003.7174
330.5096,80.7500,1003.7207
331.4904,80.7500,1003.7239
332.4713,80.7500,1003.7272
333.4522,80.7500,1003.7304
334.4331,80.7500,1003.7336
335.4140,80.7500,1003.7369
336.3949,80.7500,1003.7401
337.3758,80.7500,1003.7433
338.3567,80.7500,1003.7466
339.3376,80.7500,1003.7498
340.3185,80.7500,1003.7531
341.2994,80.7500,1003.7563
342.2803,80.7500,1003.7595
343.2611,80.7500,1003.7628
344.2420,80.7500,1003.7660
345.2229,80.7500,1003.7692
