X,Y,Z
100.0000,80.7500,1002.9600
100.9809,80.7500,1002.9600
101.9618,80.7500,1002.9600
102.9427,80.7500,1002.9600
103.9236,80.7500,1002.9600
104.9045,80.7500,1002.9600
105.8854,80.7500,1002.9600
106.8662,80.7500,1002.9600
107.8471,80.7500,1002.9600
108.8280,80.7500,1002.9600
109.8089,80.7500,1002.9600
110.7898,80.7500,1002.9600
111.7707,80.7500,1002.9600
112.7516,80.7500,1002.9600
113.7325,80.7500,1002.9600
114.7134,80.7500,1002.9600
115.6943,80.7500,1002.9600
116.6752,80.7500,1002.9600
117.6561,80.7500,1002.9600
118.6369,80.7500,1002.9600
119.6178,80.7500,1002.9600
120.5987,80.7500,1002.9600
121.5796,80.7500,1002.9600
122.5605,80.7500,1002.9600
123.5414,80.7500,1002.9600
124.5223,80.7500,1002.9600
125.5032,80.7500,1002.9600
126.4841,80.7500,1002.9600
127.4650,80.7500,1002.9600
128.4459,80.7500,1002.9600
129.4268,80.7500,1002.9600
130.4076,80.7500,1002.9600
131.3885,80.7500,1002.9600
132.3694,80.7500,1002.9600
133.3503,80.7500,1002.9600
134.3312,80.7500,1002.9600
135.3121,80.7500,1002.9600
136.2930,80.7500,1002.9600
137.2739,80.7500,1002.9600
138.2548,80.7500,1002.9600
139.2357,80.7500,1002.9600
140.2166,80.7500,1002.9600
141.1975,80.7500,1002.9600
142.1783,80.7500,1002.9600
143.1592,80.7500,1002.9600
144.1401,80.7500,1002.9600
145.1210,80.7500,1002.9600
146.1019,80.7500,1002.9600
147.0828,80.7500,1002.9600
148.0637,80.7500,1002.9600
149.0446,80.7500,1002.9600
150.0255,80.7500,1002.9600
151.0064,80.7500,1002.9600
151.9873,80.7500,1002.9600
152.9682,80.7500,1002.9600
153.9490,80.7500,1002.9600
154.9299,80.7500,1002.9600
155.9108,80.7500,1002.9600
156.8917,80.7500,1002.9600
157.8726,80.7500,1002.9600
158.8535,80.7500,1002.9600
159.8344,80.7500,1002.9600
160.8153,80.7500,1002.9600
161.7962,80.7500,1002.9600
162.7771,80.7500,1002.9600
163.7580,80.7500,1002.9600
164.7389,80.7500,1002.9600
165.7197,80.7500,1002.9600
166.7006,80.7500,1002.9600
167.6815,80.7500,1002.9600
168.6624,80.7500,1002.9600
169.6433,80.7500,1002.9600
170.6242,80.7500,1002.9600
171.6051,80.7500,1002.9600
172.5860,80.7500,1002.9600
173.5669,80.7500,1002.9600
174.5478,80.7500,1002.9600
175.5287,80.7500,1002.9600
176.5096,80.7500,1002.9600
177.4904,80.7500,1002.9600
178.4713,80.7500,1002.9600
179.4522,80.7500,1002.9600
180.4331,80.7500,1002.9600
181.4140,80.7500,1002.9600
182.3949,80.7500,1002.9600
183.3758,80.7500,1002.9600
184.3567,80.7500,1002.9600
185.3376,80.7500,1002.9600
186.3185,80.7500,1002.9600
187.2994,80.7500,1002.9600
188.2803,80.7500,1002.9600
189.2611,80.7500,1002.9600
190.2420,80.7500,1002.9600
191.2229,80.7500,1002.9600
192.2038,80.7500,1002.9600
